0,1,1,1,1,1,1,1,1,1,1,1,1,2
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,51,52,24,24,212,213,24,24,373,374,24,25
23,24,74,75,24,24,235,236,24,24,396,397,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
46,47,47,47,47,47,47,47,47,47,47,47,47,48
